,temperature,performance,internet,size,set,range,sparsity,multiply,time
43,20,3.5,1,50,1,10,0.8,0,0.079392671585083
44,20,3.5,1,50,1,10,0.8,1,1.64508819580078E-05
45,20,3.5,1,50,1,100000,0.2,0,0.078993797302246
46,20,3.5,1,50,1,100000,0.2,1,1.66893005371094E-05
47,20,3.5,1,50,1,100000,0.8,0,0.078437805175781
48,20,3.5,1,50,1,100000,0.8,1,1.71661376953125E-05
49,20,3.5,1,150,0,10,0.2,0,2.4730658531189
50,20,3.5,1,150,0,10,0.2,1,0.003689527511597
51,20,3.5,1,150,0,10,0.8,0,2.49934482574463
52,20,3.5,1,150,0,10,0.8,1,0.003847360610962
53,20,3.5,1,150,0,100000,0.2,0,2.52491807937622
54,20,3.5,1,150,0,100000,0.2,1,0.003947973251343
55,20,3.5,1,150,0,100000,0.8,0,2.54416799545288
56,20,3.5,1,150,0,100000,0.8,1,0.003841638565063
57,20,3.5,1,150,1,10,0.2,0,2.16594004631042
58,20,3.5,1,150,1,10,0.2,1,0.000211000442505
59,20,3.5,1,150,1,10,0.8,0,2.14768290519714
60,20,3.5,1,150,1,10,0.8,1,0.000221490859985
61,20,3.5,1,150,1,100000,0.2,0,2.15296697616577
62,20,3.5,1,150,1,100000,0.2,1,0.000230312347412
63,20,3.5,1,150,1,100000,0.8,0,2.12478995323181
64,20,3.5,1,150,1,100000,0.8,1,0.000229597091675
65,20,5.6,0,50,0,10,0.2,0,0.216237306594849
66,20,5.6,0,50,0,10,0.2,1,0.000282526016235
67,20,5.6,0,50,0,10,0.8,0,0.222368478775024
68,20,5.6,0,50,0,10,0.8,1,0.000340461730957
69,20,5.6,0,50,0,100000,0.2,0,0.254398584365845
70,20,5.6,0,50,0,100000,0.2,1,0.000306844711304
71,20,5.6,0,50,0,100000,0.8,0,0.245776891708374
72,20,5.6,0,50,0,100000,0.8,1,0.000263929367065
73,20,5.6,0,50,1,10,0.2,0,0.194777011871338
74,20,5.6,0,50,1,10,0.2,1,3.93390655517578E-05
